Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Watermael-Boitsfort,1170,1,house,town house,749000,,5,205,1,14,1,152,220,2,,10673197,to be done up,https://www.immoweb.be/en/classified/town-house/for-sale/watermael-boitsfort/1170/10673197
,Zaventem,1933,1,house,villa,755000,,5,241,1,33,1,300,500,4,,10673001,good,https://www.immoweb.be/en/classified/villa/for-sale/zaventem/1933/10673001
,Wavre,1300,1,house,villa,435000,isUnderOption,4,185,1,30,1,526,748,4,,10669505,good,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/10669505
,Braine-l'Alleud,1420,1,house,house,320000,,3,88,1,20,1,250,405,3,,10667819,good,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10667819
,Saint-Nicolas,4420,1,house,house,319000,,3,194,1,34,1,82,197,2,,10666853,as new,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/10666853
,Anderlecht,1070,1,house,exceptional property,960000,,6,400,1,40,1,290,1090,3,,10669507,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/anderlecht/1070/10669507
,Gent,9000,1,house,house,319000,,3,154,,,1,8,55,2,,10667297,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10667297
,Anderlecht,1070,1,house,house,399000,,4,170,1,10,1,140,210,2,,10669506,to be done up,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10669506
,Antwerp,2018,1,house,house,910000,,5,310,1,18,1,131,242,2,,10671574,good,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2018/10671574
,Herstal,4040,1,house,house,190000,,2,110,1,20,1,450,728,4,,10671800,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10671800
,Seraing,4100,1,house,house,149000,,2,105,1,,1,25,105,2,,10668977,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10668977
,Ronse,9600,1,house,mixed use building,295000,,5,339,,,,,160,2,,10671514,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ronse/9600/10671514
,Gent,9000,1,house,house,785000,,4,266,1,33,1,93,262,2,,10672043,to renovate,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10672043
,Waterloo,1410,1,house,villa,498000,,5,140,1,,1,700,1132,4,,10666111,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10666111
,Lasne,1380,0,house,villa,995000,,6,300,,,,,14631,4,,10666139,to restore,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/10666139
,Geraardsbergen,9500,1,house,house,240000,,3,125,,,,,58,2,,10665484,just renovated,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10665484
,Oedelem,8730,1,house,villa,575000,,6,288,,,1,475,969,4,,10663298,as new,https://www.immoweb.be/en/classified/villa/for-sale/oedelem/8730/10663298
,Mechelen,2800,1,house,house,513000,,3,160,1,,1,600,699,3,,10673206,as new,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10673206
,Bruxelles,1000,1,house,house,550000,,5,265,,,,,110,2,,10664236,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10664236
,Arlon,6700,1,apartment,apartment,230000,,1,54,1,,,,,,,10673143,good,https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/10673143
,Aubange,6790,1,apartment,apartment,260000,,2,110,,,,,,4,,10673142,good,https://www.immoweb.be/en/classified/apartment/for-sale/aubange/6790/10673142
,Deinze,9800,1,apartment,apartment,395000,,2,99,1,12,,,,4,,10665845,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665845
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,469000,,2,100,1,5,,,,2,,10671722,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10671722
,Ixelles,1050,1,apartment,penthouse,200000,,1,43,1,8,,,,2,,10672667,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/10672667
,Leuven,3000,1,apartment,apartment,295000,,2,81,1,12,,,,2,,10672892,good,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10672892
,Mechelen,2800,1,apartment,duplex,339000,,2,90,1,5,1,6,,1,,10672808,as new,https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/10672808
,Woluwe-Saint-Lambert,1200,1,apartment,flat studio,245000,,0,40,,,,,,2,,10671720,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-lambert/1200/10671720
,Ixelles,1050,1,apartment,apartment,695000,,2,153,1,50,,,,2,,10673053,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10673053
,Watermael-Boitsfort,1170,1,apartment,apartment,345000,,2,88,1,17,,,,,,10672511,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/watermael-boitsfort/1170/10672511
,Gent,9000,1,apartment,apartment,549000,,3,145,1,3,,,,4,,10672778,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10672778
,ROCOURT,4000,1,apartment,apartment,420000,,3,144,1,18,,,,,,10672098,good,https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/10672098
,Sint-Pieters-Woluwe,1150,1,apartment,apartment,765000,,4,253,1,11,,,,2,,10672317,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-woluwe/1150/10672317
,Brussels City,1000,1,apartment,apartment,985000,,4,221,,,,,,2,,10672307,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10672307
,Huy,4500,1,apartment,apartment,250000,,3,98,1,,,,,,,10671060,good,https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/10671060
,Anderlecht,1070,1,apartment,apartment,239000,,2,82,,,,,,2,,10668949,as new,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10668949
,Borgerhout,2140,1,apartment,apartment,175000,,2,102,1,20,,,,3,,10670795,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10670795
,Gavere,9890,1,apartment,apartment,265000,,1,76,1,11,,,,4,,10656492,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656492
,Blankenberge,8370,1,apartment,apartment,289000,,2,68,1,,,,,,,10668605,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10668605
,Ninove,9400,1,house,mansion,615000,,5,450,1,,1,1100,1260,4,,10663833,good,https://www.immoweb.be/en/classified/mansion/for-sale/ninove/9400/10663833
,Gavere,9890,1,apartment,apartment,269000,,1,76,1,11,,,,4,,10656488,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656488
,Russeignies,7750,1,house,house,275000,,5,172,1,80,1,210,818,4,,10660333,good,https://www.immoweb.be/en/classified/house/for-sale/russeignies/7750/10660333
,Linkebeek,1630,1,house,house,495000,,3,161,1,,,,303,3,,10672578,good,https://www.immoweb.be/en/classified/house/for-sale/linkebeek/1630/10672578
