Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
Watermael-Boitsfort,1170.0,1.0,house,town house,749000.0,,5.0,205.0,1.0,14.0,1.0,152.0,220.0,2.0,,10673197.0,to be done up,https://www.immoweb.be/en/classified/town-house/for-sale/watermael-boitsfort/1170/10673197
Zaventem,1933.0,1.0,house,villa,755000.0,,5.0,241.0,1.0,33.0,1.0,300.0,500.0,4.0,,10673001.0,good,https://www.immoweb.be/en/classified/villa/for-sale/zaventem/1933/10673001
Wavre,1300.0,1.0,house,villa,435000.0,isUnderOption,4.0,185.0,1.0,30.0,1.0,526.0,748.0,4.0,,10669505.0,good,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/10669505
Braine-l'Alleud,1420.0,1.0,house,house,320000.0,,3.0,88.0,1.0,20.0,1.0,250.0,405.0,3.0,,10667819.0,good,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10667819
Saint-Nicolas,4420.0,1.0,house,house,319000.0,,3.0,194.0,1.0,34.0,1.0,82.0,197.0,2.0,,10666853.0,as new,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/10666853
Anderlecht,1070.0,1.0,house,exceptional property,960000.0,,6.0,400.0,1.0,40.0,1.0,290.0,1090.0,3.0,,10669507.0,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/anderlecht/1070/10669507
Gent,9000.0,1.0,house,house,319000.0,,3.0,154.0,,,1.0,8.0,55.0,2.0,,10667297.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10667297
Anderlecht,1070.0,1.0,house,house,399000.0,,4.0,170.0,1.0,10.0,1.0,140.0,210.0,2.0,,10669506.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10669506
Antwerp,2018.0,1.0,house,house,910000.0,,5.0,310.0,1.0,18.0,1.0,131.0,242.0,2.0,,10671574.0,good,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2018/10671574
Herstal,4040.0,1.0,house,house,190000.0,,2.0,110.0,1.0,20.0,1.0,450.0,728.0,4.0,,10671800.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10671800
Seraing,4100.0,1.0,house,house,149000.0,,2.0,105.0,1.0,,1.0,25.0,105.0,2.0,,10668977.0,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10668977
Ronse,9600.0,1.0,house,mixed use building,295000.0,,5.0,339.0,,,,,160.0,2.0,,10671514.0,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ronse/9600/10671514
Gent,9000.0,1.0,house,house,785000.0,,4.0,266.0,1.0,33.0,1.0,93.0,262.0,2.0,,10672043.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10672043
Waterloo,1410.0,1.0,house,villa,498000.0,,5.0,140.0,1.0,,1.0,700.0,1132.0,4.0,,10666111.0,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10666111
Lasne,1380.0,0.0,house,villa,995000.0,,6.0,300.0,,,,,14631.0,4.0,,10666139.0,to restore,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/10666139
Geraardsbergen,9500.0,1.0,house,house,240000.0,,3.0,125.0,,,,,58.0,2.0,,10665484.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10665484
Oedelem,8730.0,1.0,house,villa,575000.0,,6.0,288.0,,,1.0,475.0,969.0,4.0,,10663298.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/oedelem/8730/10663298
Mechelen,2800.0,1.0,house,house,513000.0,,3.0,160.0,1.0,,1.0,600.0,699.0,3.0,,10673206.0,as new,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10673206
Bruxelles,1000.0,1.0,house,house,550000.0,,5.0,265.0,,,,,110.0,2.0,,10664236.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10664236
Arlon,6700.0,1.0,apartment,apartment,230000.0,,1.0,54.0,1.0,,,,,,,10673143.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/10673143
Aubange,6790.0,1.0,apartment,apartment,260000.0,,2.0,110.0,,,,,,4.0,,10673142.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/aubange/6790/10673142
Deinze,9800.0,1.0,apartment,apartment,395000.0,,2.0,99.0,1.0,12.0,,,,4.0,,10665845.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665845
Woluwe-Saint-Lambert,1200.0,1.0,apartment,apartment,469000.0,,2.0,100.0,1.0,5.0,,,,2.0,,10671722.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10671722
Ixelles,1050.0,1.0,apartment,penthouse,200000.0,,1.0,43.0,1.0,8.0,,,,2.0,,10672667.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/10672667
Leuven,3000.0,1.0,apartment,apartment,295000.0,,2.0,81.0,1.0,12.0,,,,2.0,,10672892.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10672892
Mechelen,2800.0,1.0,apartment,duplex,339000.0,,2.0,90.0,1.0,5.0,1.0,6.0,,1.0,,10672808.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/10672808
Woluwe-Saint-Lambert,1200.0,1.0,apartment,flat studio,245000.0,,0.0,40.0,,,,,,2.0,,10671720.0,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-lambert/1200/10671720
Ixelles,1050.0,1.0,apartment,apartment,695000.0,,2.0,153.0,1.0,50.0,,,,2.0,,10673053.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10673053
